Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82294;01/11/1961;0000;;32.1;;;;;;2.666667;
82294;01/11/1961;1200;0;;20.1;;;;;;
82294;02/11/1961;0000;;32.3;;;;;;2.666667;
82294;02/11/1961;1200;0;;20.5;;;;;;
82294;03/11/1961;0000;;32.3;;;;;;2.666667;
82294;03/11/1961;1200;0;;20.7;;;;;;
82294;04/11/1961;0000;;31.9;;;;;;2;
82294;04/11/1961;1200;0;;21.7;;;;;;
82294;05/11/1961;0000;;32.3;;;;;;1.333333;
82294;05/11/1961;1200;0;;22.1;;;;;;
82294;06/11/1961;0000;;32.3;;;;;;2.666667;
82294;06/11/1961;1200;0;;21.1;;;;;;
82294;07/11/1961;0000;;31.9;;;;;;2;
82294;07/11/1961;1200;0;;18.3;;;;;;
82294;08/11/1961;0000;;31.7;;;;;;2.666667;
82294;08/11/1961;1200;0;;19.7;;;;;;
82294;09/11/1961;0000;;31.9;;;;;;1.333333;
82294;09/11/1961;1200;0;;21.1;;;;;;
82294;10/11/1961;0000;;32.7;;;;;;2.666667;
82294;10/11/1961;1200;0;;21.1;;;;;;
82294;11/11/1961;0000;;32.5;;;;;;1.333333;
82294;11/11/1961;1200;0;;20.5;;;;;;
82294;12/11/1961;0000;;31.5;;;;;;2.666667;
82294;12/11/1961;1200;0;;19.1;;;;;;
82294;13/11/1961;0000;;31.7;;;;;;2;
82294;13/11/1961;1200;0;;19.1;;;;;;
82294;14/11/1961;0000;;31.5;;;;;;2.666667;
82294;14/11/1961;1200;0;;18.5;;;;;;
82294;15/11/1961;0000;;32.3;;;;;;1.333333;
82294;15/11/1961;1200;0;;19.5;;;;;;
82294;16/11/1961;0000;;31.9;;;;;;2.666667;
